name;km;nk;gm;fl;dm;zn;et;bk;af
singen1;580;220;800;64,51;12,40117811;2;0;1;1
singen2;670;170;840;80;10,5;2,5;2;1;0
konstanz1;740;200;940;63;14,92063492;3;1;1;0
konstanz2;820;150;970;61,44;15,78776042;2;0;0;1
konstanz3;850;190;1040;66;15,75757576;2;3;1;1
