vCrop,climate,CAPRI_NUTSII,nuts2,RCP,CO2_level,representative.median
Barley,isimip_clim,BL340000,BE34,RCP8.5,elev,32.4905406120035
Barley,isimip_clim,BL340000,BE34,RCP6.0,amb,0.73590799148239
Barley,isimip_clim,BL340000,BE34,RCP4.5,amb,1.99894939745858
Barley,isimip_clim,BL350000,BE35,RCP2.6,elev,15.8710286315566
Barley,isimip_clim,BL350000,BE35,RCP8.5,elev,31.2410678878695
Barley,isimip_clim,BL350000,BE35,RCP4.5,amb,0.638628460718958
Barley,isimip_clim,BL350000,BE35,RCP4.5,elev,23.0245327344385
Barley,isimip_clim,BL350000,BE35,RCP6.0,elev,20.7269211855223
Barley,isimip_clim,BL350000,BE35,RCP6.0,amb,-1.92205374247779
Barley,isimip_clim,BL350000,BE35,RCP8.5,amb,-0.027802638596676
Barley,isimip_clim,BL350000,BE35,RCP2.6,amb,1.48924660088559
Barley,isimip_clim,BL400000,LU00,RCP4.5,elev,23.9853560280977
Barley,isimip_clim,BL400000,LU00,RCP8.5,elev,32.3805020673668
Barley,isimip_clim,BL400000,LU00,RCP2.6,amb,4.31515228082907
Barley,isimip_clim,BL400000,LU00,RCP4.5,amb,2.20603226043267
Barley,isimip_clim,BL400000,LU00,RCP6.0,elev,22.9283063359416
Barley,isimip_clim,BL400000,LU00,RCP6.0,amb,2.1425955586841
Barley,isimip_clim,BL400000,LU00,RCP2.6,elev,18.7226375917246
Barley,isimip_clim,BL400000,LU00,RCP8.5,amb,1.2194090489397
Barley,isimip_clim,CZ010000,CZ01,RCP6.0,elev,28.917751774903
Barley,isimip_clim,CZ010000,CZ01,RCP8.5,elev,39.3073373221927
Barley,isimip_clim,CZ010000,CZ01,RCP2.6,elev,25.4846953409545
Barley,isimip_clim,CZ010000,CZ01,RCP2.6,amb,9.60333573332626
Barley,isimip_clim,CZ010000,CZ01,RCP4.5,elev,26.5158076071058
Barley,isimip_clim,CZ010000,CZ01,RCP6.0,amb,5.66572718275902
Barley,isimip_clim,CZ010000,CZ01,RCP8.5,amb,2.09367687086807
Barley,isimip_clim,CZ010000,CZ01,RCP4.5,amb,4.23177321884149
Barley,isimip_clim,CZ020000,CZ02,RCP6.0,elev,29.5793268978851
Barley,isimip_clim,CZ020000,CZ02,RCP2.6,elev,26.7087838790039
Barley,isimip_clim,CZ020000,CZ02,RCP4.5,elev,26.029702254232
Barley,isimip_clim,CZ020000,CZ02,RCP6.0,amb,6.215089564409
Barley,isimip_clim,CZ020000,CZ02,RCP2.6,amb,10.432800419837
Barley,isimip_clim,CZ020000,CZ02,RCP8.5,elev,39.3345233810596
Barley,isimip_clim,CZ020000,CZ02,RCP8.5,amb,2.83136401323398
Barley,isimip_clim,CZ020000,CZ02,RCP4.5,amb,3.40484081179806
Barley,isimip_clim,CZ030000,CZ03,RCP6.0,elev,31.976058206309
Barley,isimip_clim,CZ030000,CZ03,RCP8.5,elev,40.2090507619199
Barley,isimip_clim,CZ030000,CZ03,RCP6.0,amb,7.22973688514045
Barley,isimip_clim,CZ030000,CZ03,RCP4.5,elev,29.3065784716609
Barley,isimip_clim,CZ030000,CZ03,RCP8.5,amb,1.36114441820271
Barley,isimip_clim,CZ030000,CZ03,RCP2.6,elev,28.7786205669623
Barley,isimip_clim,CZ030000,CZ03,RCP2.6,amb,12.5436464114239
Barley,isimip_clim,CZ030000,CZ03,RCP4.5,amb,5.10396012066324
Barley,isimip_clim,CZ040000,CZ04,RCP6.0,elev,27.5650061729423
Barley,isimip_clim,CZ040000,CZ04,RCP8.5,elev,39.0035173508913
Barley,isimip_clim,CZ040000,CZ04,RCP6.0,amb,5.17018790733931
Barley,isimip_clim,CZ040000,CZ04,RCP2.6,amb,9.29425829773583
